"Unfall mit Getöteten";"Sankt Gallen";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Sankt Gallen";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Sankt Gallen";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Sankt Gallen";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Sankt Gallen";"Hauptstrasse";"Ausserorts";2;2
"Unfall mit Getöteten";"Sankt Gallen";"Hauptstrasse";"Innerorts";7;3
"Unfall mit Getöteten";"Sankt Gallen";"Nebenstrasse";"Ausserorts";2;1
"Unfall mit Getöteten";"Sankt Gallen";"Nebenstrasse";"Innerorts";2;4
"Unfall mit Getöteten";"Sankt Gallen";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Sankt Gallen";"Andere";"Innerorts";1;0
"Unfall mit Getöteten";"Graubünden / Grigioni / Grischun";"Autobahn";"Ausserorts";0;0
"Unfall mit Getöteten";"Graubünden / Grigioni / Grischun";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Graubünden / Grigioni / Grischun";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Graubünden / Grigioni / Grischun";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Graubünden / Grigioni / Grischun";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Graubünden / Grigioni / Grischun";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Graubünden / Grigioni / Grischun";"Hauptstrasse";"Ausserorts";5;8
"Unfall mit Getöteten";"Graubünden / Grigioni / Grischun";"Hauptstrasse";"Innerorts";0;1
"Unfall mit Getöteten";"Graubünden / Grigioni / Grischun";"Nebenstrasse";"Ausserorts";2;2
"Unfall mit Getöteten";"Graubünden / Grigioni / Grischun";"Nebenstrasse";"Innerorts";2;1
"Unfall mit Getöteten";"Graubünden / Grigioni / Grischun";"Andere";"Ausserorts";1;0
"Unfall mit Getöteten";"Graubünden / Grigioni / Grischun";"Andere";"Innerorts";1;1
"Unfall mit Getöteten";"Aargau";"Autobahn";"Ausserorts";0;1
"Unfall mit Getöteten";"Aargau";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Aargau";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Aargau";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Aargau";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Aargau";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Aargau";"Hauptstrasse";"Ausserorts";2;1
"Unfall mit Getöteten";"Aargau";"Hauptstrasse";"Innerorts";2;3
"Unfall mit Getöteten";"Aargau";"Nebenstrasse";"Ausserorts";3;2
"Unfall mit Getöteten";"Aargau";"Nebenstrasse";"Innerorts";1;1
"Unfall mit Getöteten";"Aargau";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Aargau";"Andere";"Innerorts";0;1
"Unfall mit Getöteten";"Thurgau";"Autobahn";"Ausserorts";0;0
"Unfall mit Getöteten";"Thurgau";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Thurgau";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Thurgau";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Thurgau";"Autostrasse";"Ausserorts";0;1
"Unfall mit Getöteten";"Thurgau";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Thurgau";"Hauptstrasse";"Ausserorts";3;2
"Unfall mit Getöteten";"Thurgau";"Hauptstrasse";"Innerorts";1;5
"Unfall mit Getöteten";"Thurgau";"Nebenstrasse";"Ausserorts";2;2
"Unfall mit Getöteten";"Thurgau";"Nebenstrasse";"Innerorts";0;4
"Unfall mit Getöteten";"Thurgau";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Thurgau";"Andere";"Innerorts";0;0
"Unfall mit Getöteten";"Ticino";"Autobahn";"Ausserorts";2;1
"Unfall mit Getöteten";"Ticino";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Ticino";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Ticino";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Ticino";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Ticino";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Ticino";"Hauptstrasse";"Ausserorts";4;3
"Unfall mit Getöteten";"Ticino";"Hauptstrasse";"Innerorts";2;2
"Unfall mit Getöteten";"Ticino";"Nebenstrasse";"Ausserorts";3;3
"Unfall mit Getöteten";"Ticino";"Nebenstrasse";"Innerorts";5;0
"Unfall mit Getöteten";"Ticino";"Andere";"Ausserorts";0;1
"Unfall mit Getöteten";"Ticino";"Andere";"Innerorts";0;1
"Unfall mit Getöteten";"Vaud";"Autobahn";"Ausserorts";6;2
"Unfall mit Getöteten";"Vaud";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Vaud";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Vaud";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Vaud";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Vaud";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Vaud";"Hauptstrasse";"Ausserorts";12;12
"Unfall mit Getöteten";"Vaud";"Hauptstrasse";"Innerorts";3;2
"Unfall mit Getöteten";"Vaud";"Nebenstrasse";"Ausserorts";5;4
"Unfall mit Getöteten";"Vaud";"Nebenstrasse";"Innerorts";3;2
"Unfall mit Getöteten";"Vaud";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Vaud";"Andere";"Innerorts";0;2
"Unfall mit Getöteten";"Valais / Wallis";"Autobahn";"Ausserorts";1;1
"Unfall mit Getöteten";"Valais / Wallis";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Valais / Wallis";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Valais / Wallis";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Valais / Wallis";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Valais / Wallis";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Valais / Wallis";"Hauptstrasse";"Ausserorts";4;8
"Unfall mit Getöteten";"Valais / Wallis";"Hauptstrasse";"Innerorts";0;1
"Unfall mit Getöteten";"Valais / Wallis";"Nebenstrasse";"Ausserorts";4;2
"Unfall mit Getöteten";"Valais / Wallis";"Nebenstrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Valais / Wallis";"Andere";"Ausserorts";1;0
"Unfall mit Getöteten";"Valais / Wallis";"Andere";"Innerorts";0;0
"Unfall mit Getöteten";"Neuchâtel";"Autobahn";"Ausserorts";1;2
"Unfall mit Getöteten";"Neuchâtel";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Neuchâtel";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Neuchâtel";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Neuchâtel";"Autostrasse";"Ausserorts";0;1
"Unfall mit Getöteten";"Neuchâtel";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Neuchâtel";"Hauptstrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Neuchâtel";"Hauptstrasse";"Innerorts";1;1
"Unfall mit Getöteten";"Neuchâtel";"Nebenstrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Neuchâtel";"Nebenstrasse";"Innerorts";1;0
"Unfall mit Getöteten";"Neuchâtel";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Neuchâtel";"Andere";"Innerorts";0;0
"Unfall mit Getöteten";"Genève";"Autobahn";"Ausserorts";1;0
"Unfall mit Getöteten";"Genève";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Genève";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Genève";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Genève";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Genève";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Genève";"Hauptstrasse";"Ausserorts";1;4
"Unfall mit Getöteten";"Genève";"Hauptstrasse";"Innerorts";9;9
"Unfall mit Getöteten";"Genève";"Nebenstrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Genève";"Nebenstrasse";"Innerorts";1;0
"Unfall mit Getöteten";"Genève";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Genève";"Andere";"Innerorts";1;1
"Unfall mit Getöteten";"Jura";"Autobahn";"Ausserorts";0;0
"Unfall mit Getöteten";"Jura";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Jura";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Jura";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Jura";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Jura";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Jura";"Hauptstrasse";"Ausserorts";1;0
"Unfall mit Getöteten";"Jura";"Hauptstrasse";"Innerorts";1;0
